Artist,Title,Lyrics
Yusuf Islam,I Think I See The Light,"I used to trust nobody  
Trusting even less their words  
Until I found somebody  
There was no one I preferred  
  
My heart was made of stone  
My eyes saw only misty gray  
Until you came into my life  
I saw everyone that way  
  
Until I found the one  
I needed at my side  
I think I would have been  
A blind man all my life  
  
I think I see the light  
I think I see the light  
I think I see the light  
  
I used to walk alone  
Every step seemed the same  
This world was not my home  
So there was nothing much to gain  
  
Look up and see the clouds  
Look down and see the cold floor  
Until you came into my life  
I saw nothing, nothing more  
  
Until I found the one  
I needed at my side  
I think I would have been  
A blind man all my life  
  
I think I see the light  
I think I see the light  
(Shine, shine, shine)  
I think I see the light  
(Shine, shine, shine)  
  
I think I see the light  
I think I see the light  
So shine, shine, shine  
Shine, shine, shine  
Shine, shine, shine  
  
I think I see the light  
Coming to me, coming through me  
Giving me a second sight  
  
So shine, shine, shine  
Shine, shine, shine  
Shine, shine, shine  
Shine, shine, shine  
  
Shine, shine, shine  
(I think I see the light)  
Shine, shine, shine  
(I think I see the light)  
Shine, shine, shine  
(I think I see the light)  
  
Keep on shining  
I think I see the light  
I think I see the light  
I think I see the light  
I think I see the light

"
Ed Sheeran,Kiss Me,"Settle down with me  
Cover me up  
Cuddle me in  
  
Lie down with me  
And hold me in your arms  
  
And your heart's against my chest, your lips pressed in my neck  
I'm falling for your eyes, but they don't know me yet  
And I'm feeling I'll forget, I'm in love now  
  
Kiss me like you wanna be loved  
You wanna be loved  
You wanna be loved  
This feels like falling in love  
Falling in love  
Falling in love  
  
Settle down with me  
And I'll be your safety  
You'll be my lady  
  
I was made to keep your body warm  
But I'm cold as the wind blows so hold me in your arms  
  
Oh no  
My heart's against your chest, your lips pressed in my neck  
I'm falling for your eyes, but they don't know me yet  
And with this feeling I'll forget, I'm in love now  
  
Kiss me like you wanna be loved  
You wanna be loved  
You wanna be loved  
This feels like falling in love  
I'm falling in love  
Falling in love  
  
Yeah I've been feeling everything  
From hate to love  
From love to lust  
From lust to truth  
I guess that's how I know you  
So I hold you close to help you give it up  
  
So kiss me like you wanna be loved  
You wanna be loved  
You wanna be loved  
This feels like falling in love  
Falling in love  
Falling in love  
  
Kiss me like you wanna be loved  
You wanna be loved  
You wanna be loved  
This feels like falling in love  
Falling in love

"
The Monkees,Theme From The Monkees,"Here we come, walkin'  
Down the street.  
We get the funniest looks from  
Everyone we meet.  
  
Hey, hey, we're the Monkees  
And people say we monkey around.  
But we're too busy singing  
To put anybody down.  
  
We go wherever we want to,  
Do what we like to do  
We don't have time to get restless,  
There's always something new.  
  
Hey, hey, we're the Monkees  
And people say we monkey around.  
But we're too busy singing  
To put anybody down.  
  
We're just tryin' to be friendly,  
Come and watch us sing and play,  
We're the young generation,  
And we've got something to say.  
Any time, Or anywhere,  
Just look over your shoulder  
Guess who'll be standing there  
  
Hey, hey, we're the Monkees  
And people say we monkey around.  
But we're too busy singing  
To put anybody down.  
  
Hey, hey, we're the Monkees  
And people say we monkey around.  
But we're too busy singing  
To put anybody down.  
We're just tryin' to be friendly,  
Come and watch us sing and play,  
We're the young generation,  
And we've got something to say.  
Hey, hey, we're the Monkees  
Hey, hey, we're the Monkees  
  
Hey, hey, we're the Monkees,  
You never know where we'll be found.  
So you'd better get ready,  
We may be comin' to your town.

"
Quietdrive,Believe,"A city under the gun  
A smoking gun  
Frozen wasteland we are on  
I see the lights  
Flames ignite  
Cigarettes that I don't own  
I've seen them bleed  
Watched them beg  
Walked to where the sidewalk ends  
Recycled bars, brand new cars  
Better find that cabby quick  
  
Drinks for free  
When you're with me  
  
Believe  
That you're always on my mind  
Believe  
That you got here just in time  
I'm not listening, no  
I'm not listening, no  
That you're always on my mind  
Not this again  
  
Dim the lights  
The city ignites  
Silent boycott of our lives  
We are the town  
The time is now  
Got one chance to paint it red  
  
Every night, start a fight  
Find a count to make it right  
Take a shot, make it grip  
Gonna shoot one from the hip  
  
Drinks for free when you're with me  
If you're down with me  
Then you must believe  
  
Believe  
That you're always on my mind  
Believe  
That you got here just in time  
I'm not listening, no  
I'm not listening, no  
That you're always on my mind  
Not this again  
  
Take what you need to take  
Jump  
It's not far away  
Run, run, run to me  
They will never catch us  
They'll never catch us  
  
Take what you need to take  
Jump  
It's not far away  
Please come back to me  
They will never catch us  
They'll never catch us  
  
Believe  
That you're always on my mind  
Believe  
That you got here just in time  
I'm not listening, no  
I'm not listening, no  
That you're always on my mind  
Not this again

"
Offspring,A Thousand Days,"Ask me no questions and I'll tell you  
I'll tell you no lies  
When all is said and done  
Does it really matter who's wrong or right  
Don't ask me for a reason, I can't explain  
Why we hurt one another again and again  
As I lie bleeding here I still  
I still reach for you  
  
A thousand days  
Have passed away  
A thousand days  
Were captured in her eyes  
  
Your eyes are open now but you know  
It's still hard to see inside  
When action and intention  
Are two separate things  
Now I somehow wish I could explain  
Why we hurt each other again and again  
Like someone on his dying breath  
I still reach for you  
  
A thousand days  
Have passed away  
A thousand days  
Were captured in her eyes  
  
Forever we've been  
Trapped by our hearts  
Trapped by our minds  
I'd like to leave  
I'd like to win at love  
  
But I just can't let it go  
And I just can't watch it slipping away  
And I just can't let it go  
And I just can't stand another minute  
  
Maybe now someday our shattered live  
Will mend themselves again  
But now a million miles away  
I still wish I could  
And though I somehow know, I can't explain  
Why we hurt one another again and again  
Like someone on his dying breath  
I still reach for you

"
Sting,A Thousand Years,"A thousand years, a thousand more  
A thousand times a million doors to eternity  
I may have lived a thousand lives, a thousand times  
An endless turning stairway climbs  
To a tower of souls  
If it takes another thousand years, a thousand wars,  
The towers rise to numberless floors in space  
I could shed another million tears, a million breaths,  
A million names but only one truth to face  
A million roads, a million fears  
A million suns, ten million years of uncertainty  
I could speak a million lies, a million songs,  
A million rights, a million wrongs in this balance of time  
But if there was a single truth, a single light  
A single thought, a singular touch of grace  
Then following this single point, this single flame,  
This single haunted memory of your face  
I still love you  
I still want you  
A thousand times the mysteries unfold themselves  
Like galaxies in my head  
I may be numberless, I may be innocent  
I may know many things, I may be ignorant  
Or I could ride with kings and conquer many lands  
Or win this world at cards and let it slip my hands  
I could be cannon food, destroyed a thousand times  
Reborn as fortune's child to judge another's crimes  
Or wear this pilgrim's cloak, or be a common thief  
I've kept this single faith, I have but one belief  
I still love you  
I still want you  
A thousand times the mysteries unfold themselves  
Like galaxies in my head  
On and on the mysteries unwind themselves  
Eternities still unsaid  
'Til you love me

"
Eurythmics,Leaving This Earth (again),"She takes a shower in a small town  
Near Birmingham  
Though here clothes are  
Unfashionable  
They have a timeless feel  
Is she real?  
  
She leaves the building  
And walks through  
The housing estate  
It's 7.30  
A state grey sky  
But in spite of this  
She turns and blows a kiss  
  
She's leaving this earth again  
There's a shuttle bound for take off  
11.45 a.m. she'll be there  
She's special  
Oh so special  
Knows enough about science  
To get married to a millionaire  
She'll be there  
  
He'll comb his hair  
In a high rise apartment  
On the river Tyne  
Though his neck is scarred  
He has a strong and handsome face  
A human face  
He leaves the building  
And walks to his electric car  
It's 7.30 there's a bitter wind  
But in spite of that  
He turns and tips his hat  
  
He's leaving this earth again  
There's a shuttle bound for take off  
11.45 a.m.  
  
He'll be there  
He's so special oh so special  
Knows enough about science  
To forget about his morning prayers  
He'll be there  
  
I'm leaving this earth again  
There's a shuttle bound for take off  
11.45 a.m. I'll be there  
I'm special oh so special  
I was chosen by the captain  
Of a spaceship in Trafalgar Square  
And I promised I'd be there or be square!

"
Tom Jones,Are You Gonna Go My Way,"Hey Robbie are you ready for  
this - I'm always ready Tom,  
You know that  
I think you were born ready - Ha ha, Come On  
  
I was born long ago  
I am the chosen, I'm the one  
I have come to save the day  
And I won't leave until I'm done  
So that's why you've got to try  
You got to breath and have some fun  
Though I'm not paid I play this game  
And I won't stop until I'm done  
  
But what I really want to know is  
Are you gonna go my way?  
And I got to got to know  
  
I don' t know why we always cry  
This we must leave and get undone  
We haven't changed and rearranged  
And turn this planet back to one  
So tell me why we got to die  
And kill each other one by one  
we've got to love and rub-a-dub  
We've got to dance and fall in love  
  
But what I really want to know is  
Are you gonna go my way?  
And I got to got to know  
  
But what I really want to know is  
Are you gonna go my way?  
And I got to got to know got to know

"
Ace Of Base,Edge Of Heaven,"Fire! I can see it burning so brightly  
Fire! I can feel it calling out to me  
And as the sun goes down  
It starts to paint a picture  
  
Of an ancient town  
So far away, across the endless sea  
Lead me to the light  
And take me to the edge of heaven  
  
I'm standing in the night  
Looking for the edge of heaven  
We'll be touching the edge of heaven  
Time  
  
Close your eyes see dreams of tomorrow  
Time  
The wheels are turning till eternity  
And as the darkness comes  
  
I start to see a picture  
Of a lonely man  
So clearly now reaching out for me  
Lead me to the light  
  
And sail the endless sea  
So lead me to the light  
And take me to the edge of heaven  
The edge of heaven is near  
  
We'll sail the endless sea

"
W.A.S.P.,Let It Roar,"OH GET UP on your feet  
It's all ya got  
It's time to rumble  
It's all that you're living for  
Oh, It'll drive your crazy  
You're gonna feel like Superman  
You feel the rush  
You know you're gonna feel the roar  
Thunder at your feet  
Kneel to your Gods  
Are you praying  
Crank up what you need  
That drives you crazy  
Gonna roar - oh - oh  
Come and bring the noise  
You've been dying for  
Oh get down on your knees  
And bow to thunder  
And whose your God  
An what are you praying for  
Oh it's a killer baby  
You gotta let it roar  
Oh are you gonna die in vain  
Let it Roar, oh what's it gonna be  
Will you cry oh no  
Come on and stand for what you believe  
Or die on your knees  
Oh you gotta get up on your feet  
Let it Roar, cause I wanna be oh yeah  
Cause I , cause I believe in something  
Let it RoarOh, Give me thunder Oh I'm gonna  
  
  

"
Whitesnake,Trouble,"I was raised a gambler's son  
And before I could walk,  
I had to learn how to run.  
And I never, never ever  
Played a loaded dice.  
But, I rolled a lot of women  
With a heart as cold as ice.  
  
On the run again  
Looking for a place to hide,  
Everywhere I look there is trouble,  
Always coming my way,  
Trouble always coming my way.  
  
Baby I'm lonely, I'm out of control,  
I need someone to understand  
The badness in my soul.  
Though I never, I never  
Stole another man's wife  
But, I fooled around plenty enough  
And I got what I paid for.  
  
On the run again  
Looking for a place to hide,  
Everywhere I look there is trouble,  
Trouble always coming my way.  
  
Trouble.  
  
On the run again  
Looking for a place to hide,  
Everywhere I look there is trouble,  
Trouble always coming my way.  
  
Trouble always coming my way, trouble always coming

"
Wu-Tang Clan,Brooklyn Zoo,"I'm the one, I'm the one, I'm the one, I'm the one  
I'm the one-man army, Ason  
I've never been tooken out, I keep MCs lookin' out  
I drop science like girls be droppin' babies  
Enough to make a nigga go crazy  
  
And energy buildin', takin' all types of medicines  
Your ass thought you were better than Ason  
I keep planets in orbit  
While I be comin' with teeth, bitin' more shit  
Enough to make you break and shake yo' ass  
'Cause I create rhymes good as a tasty cake mix  
  
This style, I'm mastered in  
Niggas catchin' headaches, what, what? You need Aspirin?  
This type of pain, you couldn't even kill with Midol  
Fuck around, get sprayed with Lysol  
In your face like a can of mace, baby  
Is it burnin'? Well, fuck it, now you're learnin'  
  
How, I don't even like your motherfuckin' profile  
Give me my fuckin' shit, ch-ch bloaw!  
Not seen and heard, no one knows  
You forget, niggas be quiet as kept  
Now you know nothin'  
Before you knew a whole fuckin' lot  
  
Your ass don't wanna get shot  
A lot of MCs came to my showdown  
To watch me put your fuckin' ass low down  
As you can go, below zero  
Without a doubt I've never been tooken out  
  
By a nigga, who couldn't figure  
Yo by a nigga, who couldn't figure  
Yo by a nigga, who couldn't figure  
How to pull a fuckin' gun trigger  
I said, ""Get the fuck outta here!""  
  
Nigga wanna get too close, to the utmost  
But I got stacks that'll attack any wack host  
Introducin', yo fuck that nigga's name  
My hip-hop drops on your head like rain  
  
And when it rains it pours  
'Cause my rhymes hardcore  
That's why I give you more of the raw  
Talent that I got will riz-ock the spot  
MCs, I'll be burnin', burnin' hot  
  
Whoa-hoa-hoa! Get me like slow-mo with the flow  
If I move too quick, oh, you just won't know  
I'm homicidal when you enter the target  
Nigga get up, act like a pig tryin' to hog shit  
So I take yo' ass out, quick, the mics  
I've had it my nigga, you can suck my dick  
  
If you wanna step to my motherfuckin' rep'  
Ch-ch bloaw! Bloaw! Bloaw! Blown to death  
You got shot 'cause you knock, knock, knock  
""Who's there?"" Another motherfuckin' hardrock  
Slackin' on your mackin' 'cause raw's what you lack  
You wanna react? Bring it on back  
  
Shame on you, when you step through to  
The ol' dirty bastard, Brooklyn Zoo!  
Shame on you, when you step through to  
The ol' dirty bastard, Brooklyn Zoo!  
Shame on you, when you step through to  
The ol' dirty bastard, Brooklyn Zoo!  
Brooklyn Zoo, Brooklyn Zoo!

"
Coldplay,We Found Love,"Yellow diamonds in the light  
And we're standing side by side  
As your shadow crosses mine  
What it takes to come alive  
  
It's the way I'm feeling I just can't deny  
But I've gotta let it go  
  
We found love in a hopeless place  
We found love in a hopeless place  
We found love in a hopeless place  
We found love in a hopeless place  
  
Shine a light through an open door  
Love and life I will divide  
Turn away cause I need you more  
Feel the heartbeat in my mind  
  
It's the way I'm feeling I just can't deny  
But I've gotta let it go  
  
We found love in a hopeless place  
We found love in a hopeless place  
We found love in a hopeless place  
We found love in a hopeless place

"
NOFX,Nowhere,"You can't believe things you see and read  
The Soviet threat  
Our pseudo enemy  
What's scaring me?  
Our foreign policy  
To make the world safe for business  
Call it democracy  
  
Our human nature, it's all the same  
We spend our lives in the pursuit of happiness  
So stop the hate, open the iron gate  
It's our destiny to make the cold war history  
  
You think I give a shit  
If you're a socialist  
If you're a capitalist  
We've all got to exist  
On this planet with nowhere to run  
The millions of brainwashed must open their eyes  
We are one  
  
With us over here and them over there  
Barbed wire borders are going nowhere

"
Genesis,Home By The Sea,"Creeping up the blind side, shimming up the wall  
Stealing through the dark of night  
Climbing through a window, stepping to the floor  
Checking to the left and the right  
Picking up the pieces, putting them away  
Something doesn't feel quite right  
  
Help me someone, let me out of here  
Then out of the dark was suddenly heard  
Welcome to the Home by the Sea  
  
Coming out the woodwork, through the open door  
Pushing from above and below  
Shadows without substance, in the shape of men  
Round and down and sideways they go  
Adrift without direction, eyes that hold despair  
Then as one they sign and they moan  
  
Help us someone, let us out of here  
Living here so long undisturbed  
Dreaming of the time we were free  
So many years ago  
Before the time when we first heard  
Welcome to the Home by the Sea  
  
Sit down, sit down  
As we relive our lives in what we tell you  
  
Images of sorrow, pictures of delight  
Things that go to make up a life  
Endless days of summer longer nights of gloom  
Waiting for the morning light  
Scenes of unimportance like photos in a frame  
Things that go to make up a life  
  
Help us someone, let us out of here  
Living here so long undisturbed  
Dreaming of the time we were free  
So many years ago  
Before the time when we first heard  
Welcome to the Home by the Sea  
  
Sit down, sit down  
As we relive our lives in what we tell you  
Let us relive our lives in what we tell you  
  
Sit down sit down  
Cause you won't get away  
So with us you will stay  
For the rest of your days. so sit down  
As we relive our lives in what we tell you  
Let us relive our lives in what we tell you

"
Annie,It's The Hard-Knock Life,"[ORPHANS]  
It's a hard-knock life for us!  
It's a hard-knock life for us!  
  
[ANNIE]  
'Stead of treated,  
[ORPHANS]  
We get tricked!  
  
[ANNIE]  
'Stead of kisses,  
  
[ORPHANS]  
We get kicked!  
  
[ALL]  
It's a hard-knock life!  
Got no folks to speak of, so,  
It's the hard-knock row we hoe  
  
[ANNIE]  
Cotton blankets (2 beats)  
  
[ORPHANS]  
'Stead a wool  
  
[ANNIE]  
Empty Bellies (2 beats)  
  
[ORPHANS]  
'Stead a full!  
  
[ALL]  
It's a hard-knock life!  
  
[ANNIE]  
Don't it feel like the wind is always howl'n?  
  
[KATE AND TESSIE]  
Don't it seem like there's never any light!  
  
[ANNIE and MOLLY]  
Once a day, don't you wanna throw the towel in?  
  
[PEPPER, JULY]  
It's easier than putting up a fight.  
  
[ANNIE]  
No one's there when your dreams at night are creepy!  
No one cares if you grow or if you shrink!  
No one dries when your eyes get wet and weepy  
  
[ALL]  
From the crying you would think this place's would sink!  
Ohhhh!  
Empty belly life!  
Rotten smelly life!  
Full of sorrow life!  
No tomorrow life!  
  
[MOLLY]  
Santa Claus we never see  
  
[ANNIE]  
Santa Claus, what's that?  
Who's he?  
  
[ALL]  
No one cares for you a smidge  
When your in an orphanage!  
It's the hard knock life  
  
[MOLLY]  
(Making a whistling sound and imitating Miss Hannigan)  
You're gonna scrub this dump till it shines  
Like the top of the Chrysler building.  
  
[ORPHANS (Except Molly)]  
Yank the whiskers from her face  
Jab her with a safety Pin  
Make her drink a Mickey Finn  
I love you Miss Hannigan  
(Molly)  
Get to work!  
Scrub the floors  
I said get to work!  
  
[ALL]  
It's the hard-knock life for her  
  
It's the hard-knock life for her  
No one cares for you a smidge  
(Molly)  
  
When your in an orphanage  
It's a hard-knock life!  
It's a hard-knock life!  
It's a hard-knock life!

"
Alison Krauss,This Time The Dream's On Me,"Somewhere, someday we'll be close together  
Wait and see  
Oh, by the way  
This time the dream's on me  
  
You'll take my hand  
And you'll look at me adoringly  
But as things stand  
This time the dream's on me  
  
[Chorus]  
It would be fun  
To be certain that I'm the one  
To know that I, at least  
Supply the shoulder you cry upon  
  
To see you through  
Till you're everything you want to be  
It can't be true but  
This time the dream's on me  
  
[Chorus]  
  
To see you through  
Till you're everything you want to be  
It can't be true but  
This time the dream's on me

"
Proclaimers,When You're In Love,"When you're in love  
You don't know much about it  
Not in your mind  
Romantic love  
Rots the brain,  
No doubt about it  
You're out of your mind,  
You're out of your mind  
  
Seeing things like your heart with wings  
Then you hear violin strings playing  
Feel all the things that you feel you should  
You would lie, you would kill, you would die  
At least that's what you're saying  
The worst thing is that you really would  
  
When you're in love  
You don't know much about it  
Not in your mind  
Romantic love  
Rots the brain,  
No doubt about it  
You're out of your mind,  
You're out of your mind  
  
Six thousand million people in the world  
And you say there's just one  
The only one, and you must be together  
And if they love you the pain is so sweet  
And it just gets better and better  
And if they don't  
You want them more than ever  
  
When you're in love  
You don't know much about it  
Not in your mind  
Romantic love  
Rots the brain,  
No doubt about it  
You're out of your mind,  
You're out of your mind

"
Barbra Streisand,A Taste Of Honey,"Cold winds may blow o'er the icy sea  
But I'll take with me  
The warmth of thee  
A taste of honey,  
A taste much sweeter than wine  
He will return...he will return  
He'll come back  
For the honey and me  
I leave behind  
My heart to wear  
And may it e'er remind you of  
A taste of honey  
A taste much sweeter than wine  
He will return...he will return...  
He'll come back for the honey and me.  

"
The Jam,To Be Someone,"To be someone must be a wonderful thing  
A famous footballer a rock singer  
Or a big film star, yes I think I would like that  
To be rich and have lots of fans  
Have lots of girls to prove that I'm a man  
And be no. 1 - and liked by everyone  
  
Getting drugged up with my trendy friends  
They really dig me and I dig them  
And the bread I spend - is like my fame - its quickly diminished  
  
And there's no more swimming in a guitar shaped pool  
No more reporters at my beck and call  
No more cocaine its only ground chalk  
No more taxis now well have to walk  
  
But didn't we have a nice time -  
didn't we have a nice time  
Oh wasn't it such a fine time  
  
I realize I should have stuck to my guns  
Instead shit out to be one of the bastard sons  
And lose myself - I know it was wrong - but its cost me a lot  
  
And there's no more drinking after the club shuts down,  
I'm out on me arse with the rest of the clowns  
Its really frightening without a bodyguard  
So I stay confined to my lonely room

"
Oasis,Underneath The Sky,"Underneath the sky of red  
Is a storyteller sleeping alone  
He has no face and he has no name  
And his whereabouts are sort of unknown  
  
All he needs is his life in a suitcase  
It belongs to a friend of a friend's  
And as we drink to ourselves  
We'll amuse ourselves  
Underneath the sky  
Underneath the sky again  
Underneath the sky again  
  
So wish me away to an unknown place  
Am I living in a land with no name  
I'll be making a start with my brand new heart  
Stop me making sense once again  
  
All we need is our lives in a suitcase  
They belong to a friend of a friend's  
And as we drink to ourselves  
We'll amuse ourselves  
Underneath the sky  
Underneath the sky again  
Underneath the sky again  
  
All we need is our lives in a suitcase  
They belong to a friend of a friend's  
And as we drink to ourselves  
We'll amuse ourselves  
Underneath the sky  
Underneath the sky again  
Underneath the sky again  
Underneath the sky again  
Underneath the sky again  
Underneath the sky again  
Again again again again  
Underneath the sky again

"
Uriah Heep,Mistress Of All Time,"(enlightened woman)  
She dances on the seven seas  
Dances on the ocean  
Sunlight on her golden hair  
Shapes of pure emotion  
Her voice is heard like  
Crystal words across the sky  
She moves just like an angel  
She's the mistress of all time  
Her sun pours down like liquid gold  
To chase away the sorrows  
Her clothes are like a million stars  
Made of tears and rainbows  
And all the while  
Her senses smile into my life  
She moves just like an angel  
She's a mistress of all time  
Just like the restless  
To a mission bell  
I must run to her  
Meet her everywhere  
As her music fills the universe  
She leaves the dancing visions  
Of her image on the water  
And precious stones upon the shore  
From every distant corner  
Like diamonds in the light  
They shine beyond the stars  
She moves just like an angel  
She's the mistress of all time  
She dances on the seven seas  
Dances on the ocean  
Sunlight on her golden hair  
Shapes of pure emotion  
Her voice is heard like  
Crystal words across the sky  
She moves me like an angel  
She's the mistress of all time  
She moves me like an angel  
A voice of pure emotion  
Her tears are like a rainbow  

"
Christmas Songs,I Believe In Christmas,"Do you believe in fairy tales?  
I don't know  
But I do believe in Christmas  
  
Walking through a winter dreamland  
Sleighbells ringing and my friends by my side  
I know we're having fun together  
Out on a Christmas ride  
  
The snow is falling all around me  
The reindeer is singing our favourite song  
And Santa's coming to our party  
Dancing all night long  
  
Cause I believe in Christmas  
I believe in dreams come true  
When it's cold outside  
I close my eyes  
And it's magic through and through  
I believe in Christmas  
I believe in Santa's gifts  
All the bells will ring  
The angels sing  
And Christmas time is here  
For you and for me  
  
The stars are shining oh so brightly  
The snowman's hopping and bopping with me  
Lots of joy for everybody  
Under the Christmas tree  
Everyone is so excited  
You know it's just how I want it to be  
I'm hoping that all my wishful thinking  
Will be reality  
  
Cause I believe in Christmas  
I believe in dreams come true  
When it's cold outside  
I close my eyes  
And it's magic through and through  
I believe in Christmas  
I believe in Santa's gifts  
All the bells will ring  
The angels sing  
And Christmas time is here  
For you and for me  
  
For real  
I can't wait cause Santa is coming to town  
Oh yeah, yeah  
He's gonna make your Christmas dreams come true  
  
Cause I believe in Christmas  
I believe in dreams come true  
When it's cold outside  
I close my eyes  
And it's magic through and through  
I believe in Christmas  
I believe in Santa's gifts  
All the bells will ring  
The angels sing  
And Christmas time is here  
For you

"
Neil Diamond,It Don't Seem Likely,"Likely, it don't seem likely  
Faithless love, getting me down  
Got your head spinning around  
With faithless love, it ain't my style  
Take my hand, stay for a while  
You may think that I could walk away  
And think that I don't plan to stay  
Well, you think what you want  
Me, I say that it don't seem likely  
Oh no,  
'Cause it all really matters  
Take a look at it my way  
I want to keep it together  
Likely, it don't seem likely  
  
Look ahead, what do you see  
Simple times, times made of need  
Life to day moves with the tide  
Stormy seas, harbor of light  
You may think that I could turn and go  
Run away with any so-and-so  
Well you think what you like  
Me, I know  
That it don't seem likely  
Oh no  
See a whole lot of sense an'  
Take a look at it my way  
Oh, yeah  
It don't seem likely  
  
You'll finally get it when you're least aware  
Out alone, or in your easy chair  
It's so slow, but you'll know  
That I care  
But it don't seem likely  
Cause I know it really matters  
Take a look at it my way  
I want to keep us together  
Though it don't seem likely, oh no  
'Cause I know what really matters  
I want to keep it together  
Though it don't seem likely  
Oh no,  
Likely

"
Avril Lavigne,Think About It,"I never wanted to run away from you  
I felt real bad, but that was what I did  
I never wanted to, I didn't hear from you  
And you weren't there for me so that is what happened.  
  
Pre-Chorus  
And I'm not sorry, cause we were boring  
I'm not ignoring anything (anything)  
  
Chorus  
There's only so much I can take  
Before I start to doubt it  
There's only so much I can give  
You should think about it  
Yeah, you should think about it  
  
It's time to have my fun, there's no way it's done  
""Take it with no regrets"" and that is what I'll do  
I'll never understand where you were coming from  
And where did you go? You weren't there for me  
  
Pre-Chorus  
And I'm not sorry, cause we were boring  
I'm not ignoring anything (anything)  
  
Chorus  
There's only so much I can take  
Before I start to doubt it  
There's only so much I can give  
You should think about it  
There's only so much we can do  
Can we do without it?  
There's only so much you can say  
Did you forget about it?  
Did you forget about it?  
  
I never wanted to run away from you  
I felt real bad, but that was what I did  
  
Pre-Chorus  
And I'm not sorry, cause we were boring  
I'm not ignoring anything (anything)  
  
Chorus  
There's only so much I can take  
Before I start to doubt it  
There's only so much I can give  
You should think about it  
There's only so much we can do  
Can we do without it?  
There's only so much you can say  
Did you forget about it?  
Did you forget about it?  
  
I never wanted to run away from you  
I felt real bad, but that was what I did

"
Slayer,Temptation,"Have you ever felt the need  
To see more than you can see  
Look into uncertainty  
Reflections of treachery  
Would you leave the world behind  
Endless life is here to find  
Can I interest you in lies  
Sell your soul for all it buys  
  
[Chorus:]  
  
Play with your insanity  
Shatter your reality  
Pulsing in your blood  
  
I can satisfy your greed  
For now all your debts are free  
I have all eternity  
To quench all the death I breed  
Recreate the rules of play  
From now things are done my way  
None have ever won my game  
Crucified them all in flames  
  
Have you ever danced with the devil  
His temptation ever summoned you  
Ever penned your name in blood  
Let possession slowly swallow you  
When you stand under full moonlight  
The attraction mesmerizes you  
Have you ever wondered why  
It seems that evil you're attracted to  
  
Reach out to my hand  
Step back in time's sand  
Genetic wasteland  
Far beyond death

"
Willie Nelson,Danny Boy,"Oh Danny boy  
The pipes, the pipes are ca-alling  
From glen to glen  
And down the mountain side  
And the summer's gone  
All the leaves are dy-why-ying  
It's you, it's you  
Must go and I must bide  
  
But come ye ba-ack  
When summer's in the mea-eadow  
Or when the valley's hushed  
And white with snow  
I'll be here  
In sunshine or in sha-adows  
Oh Danny boy  
Oh Da-a-a-anny boy  
I love you so  
  
But come ye ba-ack  
When summer's in the mea-eadow  
Or when the winter's whi-ite  
And hushed with snow  
I'll be here  
In sunshine or in sha-adows  
Oh Danny boy  
Oh Da-anny boy  
I love you so...

"
Olivia Newton-John,I Never Did Sing You A Love Song,"(Nichtern)  
I never did sing you a love song  
I only sang phrases in time  
I never did write you a sonnet  
I just laid my WORDS down in rhymes  
Up and down the river, so many boats to ride  
Yet precious few deliver the goods that we need to survive  
I never spoke falsely or crossly  
I never put tears in your eyes  
And you never shattered my lonely heart  
You never deceived me with lies  
And yet somehow I seem to recall I STIRRED in my sleep for a while  
Dreaming of a river man exchanging my life for a smile  
  

"
Billy Joel,Baby Grand,"Late at night  
When it's dark and cold  
I reach out  
For someone to hold  
When I'm blue  
When I'm lonely  
She comes through  
She's the only one who can  
My baby grand  
Is all I need  
  
In my time  
I've wandered everywhere  
Around this world  
She would always be there  
Any day  
Any hour  
All it takes  
Is the power in my hands  
This baby grand's  
Been good to me  
  
I've had friends  
But they slipped away  
I've had fame  
But it doesn't stay  
I've made fortunes  
Spent them fast enough  
As for woman  
They don't last with just one man  
But baby grand  
Will stand by me  
  
They say that no one's gonna play this on the radio  
They said the melancholy blues were dead and gone  
But only songs like these  
Played in minor keys  
Keep those memories holding on  
  
I've come far  
From the life I've strayed in  
I've got scars  
From those dives I've played in  
Now I'm home  
And I'm weary  
In my bones  
Every dreary one night stand  
But baby grand  
Came home with me  
  
Ever since this gig began  
My baby grand's  
Been good to me

"
